qtype,question,answer
"symptoms","What are the symptoms of hypoglycemia?","Symptoms include shakiness, sweating, dizziness, and confusion."
"cause","What causes high cholesterol?","High cholesterol can be caused by diet, lack of exercise, obesity, and genetics."
"treatment","How is high cholesterol treated?","Treatment includes lifestyle changes and medications like statins."
"diagnosis","How is epilepsy diagnosed?","Epilepsy is diagnosed with an EEG, brain imaging, and blood tests."
"symptoms","What are the symptoms of a urinary tract infection (UTI)?","Symptoms include a burning sensation during urination, frequent urges to urinate, and cloudy urine."
"risk factors","Who is at risk for osteoporosis?","Risk factors include age, gender, family history, low calcium intake, and smoking."
"prevention","How can I prevent a UTI?","Prevention includes drinking water, urinating after intercourse, and avoiding irritants like scented products."
"treatment","How is a UTI treated?","Treatment involves antibiotics prescribed by a healthcare provider."
"cause","What causes kidney stones?","Kidney stones form when minerals in urine crystallize, often due to dehydration or dietary factors."
"symptoms","What are the symptoms of kidney stones?","Symptoms include severe pain in the back or side, nausea, and blood in the urine."
"diagnosis","How are kidney stones diagnosed?","Kidney stones are diagnosed through imaging tests like CT scans and ultrasounds."
"risk factors","Who is at risk for developing gallstones?","Risk factors include obesity, high-fat diet, age, and pregnancy."
"prevention","How can I prevent gallstones?","Prevention includes maintaining a healthy weight, avoiding rapid weight loss, and eating a balanced diet."
"treatment","What treatments are available for gallstones?","Treatment options include medications, surgery, and lifestyle changes."
"symptoms","What are the signs of a heart attack?","Signs include chest pain, shortness of breath, nausea, and pain radiating to the arm or jaw."
"diagnosis","How is a heart attack diagnosed?","A heart attack is diagnosed with blood tests, ECG, and imaging tests like an angiogram."
"cause","What causes coronary artery disease?","Coronary artery disease is caused by plaque buildup in the arteries, often due to lifestyle factors and genetics."
"treatment","What treatments are available for coronary artery disease?","Treatments include lifestyle changes, medications, and sometimes procedures like angioplasty or bypass surgery."
"symptoms","What are the symptoms of bipolar disorder?","Symptoms include mood swings, periods of high energy (mania), and low energy (depression)."
"diagnosis","How is bipolar disorder diagnosed?","Bipolar disorder is diagnosed through psychological evaluation and assessment of mood patterns."
"treatment","What is the treatment for bipolar disorder?","Treatment includes mood stabilizers, therapy, and sometimes antipsychotic medications."
"risk factors","Who is at risk for bipolar disorder?","Risk factors include genetics, brain structure, and environmental factors."
"cause","What causes irritable bowel syndrome (IBS)?","The exact cause is unknown, but IBS is linked to muscle contractions in the intestines, gut-brain interactions, and stress."
"symptoms","What are the symptoms of irritable bowel syndrome?","Symptoms include abdominal pain, bloating, diarrhea, and constipation."
"diagnosis","How is irritable bowel syndrome diagnosed?","IBS is diagnosed based on symptoms, medical history, and sometimes elimination of other conditions."
"treatment","How is IBS managed?","Management includes dietary changes, stress reduction, and sometimes medications."
"prevention","How can I manage my IBS symptoms?","Management includes a balanced diet, regular exercise, and avoiding known triggers."
"cause","What causes sciatica?","Sciatica is caused by compression or irritation of the sciatic nerve, often due to a herniated disc or spinal stenosis."
"symptoms","What are the symptoms of sciatica?","Symptoms include pain radiating down the leg, numbness, and tingling."
"treatment","How is sciatica treated?","Treatment includes physical therapy, medications, and sometimes surgery."
"diagnosis","How is sciatica diagnosed?","Sciatica is diagnosed through physical exams and imaging tests like MRI or CT scans."
"risk factors","Who is at risk of sciatica?","Risk factors include age, obesity, prolonged sitting, and diabetes."
"prevention","How can I prevent sciatica?","Prevention includes regular exercise, maintaining good posture, and practicing proper lifting techniques."
"symptoms","What are the symptoms of dengue fever?","Symptoms include high fever, severe headache, pain behind the eyes, joint and muscle pain, and rash."
"treatment","How is dengue fever treated?","Treatment focuses on pain relief, hydration, and rest; severe cases may require hospitalization."
"diagnosis","How is dengue fever diagnosed?","Dengue is diagnosed through blood tests to detect the virus or antibodies."
"prevention","How can I prevent dengue fever?","Prevent dengue by avoiding mosquito bites using insect repellent, nets, and eliminating standing water."
"symptoms","What are the symptoms of rabies?","Symptoms include fever, headache, muscle spasms, confusion, and fear of water (hydrophobia)."
"treatment","What should I do if exposed to rabies?","Seek immediate medical attention for post-exposure prophylaxis to prevent the virus from taking hold."
"diagnosis","How is rabies diagnosed?","Rabies is diagnosed through tests of saliva, blood, and cerebrospinal fluid in suspected cases."
"prevention","How can I prevent rabies?","Prevent rabies by vaccinating pets and avoiding contact with wild animals."
"risk factors","Who is at higher risk of contracting rabies?","People at higher risk include those handling animals frequently or traveling to areas with high rabies incidence."
"symptoms","What are the symptoms of tetanus?","Symptoms include muscle stiffness, jaw lock, difficulty swallowing, and muscle spasms."
"treatment","How is tetanus treated?","Treatment includes antitoxins, antibiotics, wound care, and muscle relaxants."
"prevention","How can I prevent tetanus?","Prevent tetanus through vaccination and cleaning wounds promptly."
"diagnosis","How is tuberculosis spread?","Tuberculosis spreads through airborne droplets when an infected person coughs or sneezes."
"treatment","What is the first aid for a deep cut?","Clean the wound with water, apply pressure to stop bleeding, and cover with a sterile bandage."
"risk factors","Who is at risk of tuberculosis?","Risk factors include weakened immune system, close contact with infected individuals, and living in crowded conditions."
"cause","What causes cellulitis?","Cellulitis is caused by bacteria entering the skin through cuts, cracks, or bites."
"symptoms","What are the signs of cellulitis?","Signs include redness, warmth, swelling, and pain in the affected area."
"treatment","How is cellulitis treated?","Cellulitis is treated with antibiotics and sometimes pain relievers."
"symptoms","What are the symptoms of a torn ligament?","Symptoms include pain, swelling, bruising, and difficulty moving the affected joint."
"treatment","What is the first aid for a torn ligament?","First aid includes rest, ice, compression, elevation (RICE method), and medical evaluation."
"diagnosis","How is a torn ligament diagnosed?","A torn ligament is diagnosed through physical examination and imaging tests like MRI or ultrasound."
"prevention","How can I prevent ligament injuries?","Prevent ligament injuries by warming up, strengthening muscles, and using proper techniques during activities."
"cause","What causes pink eye (conjunctivitis)?","Pink eye can be caused by viruses, bacteria, allergens, or irritants."
"symptoms","What are the symptoms of pink eye?","Symptoms include redness, itching, tearing, and discharge from the eye."
"treatment","How is pink eye treated?","Treatment depends on the cause: bacterial infections need antibiotics, while viral cases often resolve on their own."
"diagnosis","How is pink eye diagnosed?","Pink eye is diagnosed by examining the eyes and assessing symptoms; a swab test may be done if needed."
"prevention","How can I prevent pink eye?","Prevent pink eye by washing hands often, avoiding touching the face, and not sharing personal items."
"symptoms","What are the signs of an ACL injury?","Signs include a popping sensation in the knee, pain, swelling, and difficulty bearing weight."
"treatment","How is an ACL injury treated?","Treatment may include rest, physical therapy, and possibly surgery for severe tears."
"cause","What causes a herniated disc?","A herniated disc is caused by wear and tear or injury, often from lifting heavy objects or twisting movements."
"symptoms","What are the symptoms of a herniated disc?","Symptoms include back pain, numbness, tingling, and muscle weakness."
"treatment","How is a herniated disc treated?","Treatment includes rest, physical therapy, pain medications, and sometimes surgery."
"diagnosis","How is a herniated disc diagnosed?","A herniated disc is diagnosed with physical exams, MRI, or CT scans."
"prevention","How can I prevent a herniated disc?","Prevent herniated discs by maintaining good posture, exercising regularly, and using proper lifting techniques."
"cause","What causes bursitis?","Bursitis is caused by repetitive motion, injury, or inflammation of the bursa sacs near joints."
"symptoms","What are the symptoms of bursitis?","Symptoms include joint pain, swelling, and stiffness, especially during movement."
"treatment","How is bursitis treated?","Treatment includes rest, ice, pain relievers, and sometimes corticosteroid injections."
"prevention","How can I prevent bursitis?","Prevent bursitis by avoiding repetitive motions, taking breaks, and strengthening surrounding muscles."
"symptoms","What are the symptoms of plantar fasciitis?","Symptoms include heel pain, especially when taking the first steps in the morning or after long periods of standing."
"treatment","How is plantar fasciitis treated?","Treatment includes rest, stretching, orthotic inserts, and physical therapy."
"diagnosis","How is plantar fasciitis diagnosed?","Plantar fasciitis is diagnosed through physical exams and symptom assessment."
"prevention","How can I prevent plantar fasciitis?","Prevent plantar fasciitis by wearing supportive shoes, stretching regularly, and avoiding excessive running on hard surfaces."
